Год постройки,Парковка,Пассажирский лифт,Санузел,Способ продажи,Двор,Тип дома,Долгота,Цена,Грузовой лифт,Тип комнат,Количество комнат,Метро (минут),В доме,Ремонт,Этаж (текущий),Площадь кухни,Широта,Этажей в доме,Общая площадь,Район,Расстояние до центра,Доля жилой площади,Есть консьерж,Есть мусоропровод,Есть газ,Детская площадка,Спорт площадка,Закрытая территория
,подземная,1,совмещенный,Unknown,Unknown,монолитный,37.50737,40176708,0,изолированные,2.0,8.0,Unknown,Unknown,15.0,15.6,55.77342,46.0,72.0,3,0.11162937471830761,0.40694444444444444,0,0,0,0,0,0
1983.0,открытая во дворе,2,совмещенный,свободная,"детская площадка, спортивная площадка",панельный,37.701753,9490000,0,Unknown,0.0,8.0,мусоропровод,дизайнерский,1.0,,55.680194,12.0,23.1,5,0.11312822214195262,,0,1,0,1,1,0
,подземная,1,совмещенный,Unknown,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.70005,32874000,1,изолированные,2.0,13.0,Unknown,Unknown,17.0,15.0,55.75299,25.0,64.4,5,0.08249787027553554,0.48913043478260865,0,0,0,1,1,1
,подземная,0,совмещенный,возможна ипотека,"детская площадка, спортивная площадка",монолитно-кирпичный,37.75315,19300000,0,Unknown,1.0,25.5,Unknown,Unknown,12.0,20.7,55.8139,24.0,42.3,1,0.14747682021252753,0.2624113475177305,0,0,0,1,1,0
,"подземная, открытая во дворе",1,Unknown,Unknown,"детская площадка, спортивная площадка",монолитный,37.48959,13667700,1,Unknown,1.0,13.0,Unknown,Unknown,12.0,,55.54554,17.0,43.5,0,0.2461621979508634,,0,0,0,1,1,0
,Unknown,0,совмещенный,Unknown,Unknown,монолитно-кирпичный,37.74078,14500000,0,Unknown,1.0,5.0,Unknown,Unknown,6.0,16.3,55.81373,29.0,35.3,4,0.13612199418168744,0.2804532577903683,0,0,0,0,0,0
,подземная,4,Unknown,возможна ипотека,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.69635,8724225,4,Unknown,0.0,13.0,Unknown,Unknown,17.0,,55.72979,21.0,17.8,5,0.08293420645306664,,0,0,0,1,1,1
,за шлагбаумом во дворе,0,совмещенный,Unknown,Unknown,монолитный,37.66661,13327200,0,Unknown,1.0,8.0,Unknown,Unknown,8.0,10.2,55.84225,35.0,43.2,4,0.09937596590725262,0.474537037037037,0,0,0,0,0,0
,Unknown,0,Unknown,Unknown,"детская площадка, спортивная площадка",монолитный,37.45737,20376660,0,Unknown,2.0,13.0,Unknown,Unknown,20.0,,55.70802,21.0,47.9,6,0.1672022167915309,0.7202505219206681,0,0,0,1,1,0
,за шлагбаумом во дворе,0,совмещенный,Unknown,Unknown,монолитный,37.66661,11453400,0,Unknown,1.0,8.0,Unknown,Unknown,3.0,13.6,55.84225,35.0,37.8,4,0.09937596590725262,0.3835978835978836,0,0,0,0,0,0
,подземная,0,совмещенный,Unknown,Unknown,монолитно-кирпичный,37.38454,10999210,0,Unknown,1.0,13.0,Unknown,Unknown,2.0,4.2,55.72249,35.0,29.1,6,0.23542837488289484,0.6804123711340206,0,0,0,0,0,0
,Unknown,0,Unknown,возможна ипотека,"детская площадка, спортивная площадка",монолитный,37.43806,42471000,0,изолированные,2.0,25.5,Unknown,Unknown,54.0,,55.7085,59.0,71.5,6,0.1856661024527661,0.31328671328671326,0,0,0,1,1,0
,за шлагбаумом во дворе,0,совмещенный,Unknown,Unknown,монолитный,37.66817,15104400,0,Unknown,2.0,8.0,Unknown,Unknown,8.0,9.3,55.84285,35.0,49.2,4,0.10067287320822661,0.7093495934959348,0,0,0,0,0,0
,Unknown,0,Unknown,Unknown,Unknown,монолитный,37.72767,15983900,0,Unknown,2.0,18.0,Unknown,Unknown,4.0,,55.72097,33.0,48.3,5,0.11544926937837258,,0,0,0,0,0,0
1955.0,за шлагбаумом во дворе,2,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",кирпичный,37.51838,43000000,0,смежные,2.0,5.0,"консьерж, газ",дизайнерский,10.0,7.9,55.737507,12.0,53.4,3,0.10089223086541647,0.5224719101123595,1,0,1,1,1,1
,за шлагбаумом во дворе,0,совмещенный,Unknown,Unknown,монолитный,37.66661,13543200,0,Unknown,1.0,8.0,Unknown,Unknown,5.0,10.2,55.84225,35.0,43.2,4,0.09937596590725262,0.474537037037037,0,0,0,0,0,0
1960.0,открытая во дворе,0,совмещенный,свободная,"детская площадка, спортивная площадка",панельный,37.55161667,12500000,0,Unknown,1.0,5.0,газ,требует ремонта,2.0,5.6,55.67247391,5.0,31.9,0,0.10628752096355058,0.6206896551724138,0,0,1,1,1,0
2006.0,открытая во дворе,1,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",панельный,37.519809,35800000,1,изолированные,2.0,13.0,мусоропровод,косметический,20.0,20.0,55.787285,23.0,88.5,3,0.10273453609181259,,0,1,0,1,1,1
